Id,brgy_name
1,ABLAN
2,ACOSTA
3,AGLIPAY
4,BAAY
5,BALIGAT
6,BAOA EAST
7,BAOA WEST
8,BARANI
9,BEN-AGAN
10,BIL-LOCA
11,BININGAN
12,BUNGON
13,CALLAGUIP
14,CAMANDINGAN
15,CAMGUIDAN
16,CANGRUNAAN
17,CAPACUAN
18,CAUNAYAN
19,COLO
20,DARIWDIW
21,LACUB
22,MABALENG
23,MAGNUANG
24,MAIPALIG
25,NAGBACALAN
26,NAGUIRANGAN
27,NALUPTA
28,PALONGPONG
29,PALPALICONG
30,PARANGOPONG
31,PAYAO
32,PIMENTEL
33,QUILING NORTE
34,QUILING SUR
35,QUIOM
36,RAYURAY
37,RICARTE
38,SAN JULIAN
39,SAN MATEO
40,SAN PEDRO
41,SUMADER
42,TABUG
43,VALDEZ
